CompanyName,MatchingName,SimilarityScore
BAXTER INTERNATIONAL,BAXTER INTERNATIONAL INC,0.9090909090909091
BAYCURRENT CONSULTING,"BAYCURRENT CONSULTING,INC.",0.8936170212765957
BAYER,BAYER AG,0.7692307692307693
BBVA,BBVA CEDEAR,0.5333333333333333
BCE INC,BCE INC.,0.9333333333333333
BECHTLE,BECHTLE AG,0.8235294117647058
BECTON DICKINSON,BECTON DICKINSON AND CO,0.8205128205128205
BEIERSDORF,BEIERSDORF AG,0.8695652173913043
BENTLEY SYSTEMS B,BENEFIT SYSTEMS SA,0.7428571428571429
BERKELEY GRP HLDGS,BERKELEY GRP HO/ADR,0.8108108108108109
BERKLEY (W.R.) CORP,BELLE ISLE CORP.,0.5714285714285714
BERKSHIRE HATHAWAY B,BERKSHIRE HATHAWAY INC.,0.8837209302325582
BEST BUY CO,BEST BUY CO INC,0.8461538461538461
BEZEQ ISRAEL TELECOM,BEZEQ THE ISRAELI TELECOMUNICTN CORP LTD,0.6666666666666666
BHP GROUP (AU),BHP GROUP,0.782608695652174
BILL HOLDINGS,BURWILL HOLDINGS LTD,0.7878787878787878
BIO-RAD LABORATORIES A,"BIO-RAD LABORATORIES, INC.",0.875
BIO-TECHNE CORP,BIO-TECHNE CORP,1.0
BIOGEN,BIOGEN INC,0.75
BIOMARIN PHARMACEUTICAL,BIOMARIN PHARMACEUTICAL INC.,0.9019607843137255
BIOMERIEUX,BIOMERIEUX SA,0.8695652173913043
BKW,BKW AG,0.6666666666666666
BLACK KNIGHT,"BLACK KNIGHT, INC.",0.8
BLACKROCK A,"BLACKROCK, INC.",0.7692307692307693
BLACKSTONE GROUP,BLACKSTONE GROUP LP,0.9142857142857143
BLOCK,BP PLC,0.5454545454545454
BLUESCOPE STEEL,BLUESCOPE STEEL LIMITED,0.7894736842105263
BMW STAMM,BIOMM SA,0.5882352941176471
BMW VORZUG,BWP TRUST,0.5263157894736842
BNP PARIBAS,BNP PARIBAS SA,0.88
BOC HONG KONG HOLDINGS,BOC HONG KONG (HOLDINGS) LTD,0.88
BOEING CO,BOEING CO,1.0
BOLIDEN,BOLIDEN AB,0.8235294117647058
BOLLORE,BOLLORE,1.0
BOOKING HOLDINGS,BOOKING HOLDINGS INC,0.8888888888888888
BOOZ ALLEN HAMILTON A,BOOZ ALLEN HAMILTON HOLDING CORPORATION,0.7
BORGWARNER,BORGWARNER INC.,0.8
BOSTON PROPERTIES,"BOSTON PROPERTIES, INC.",0.85
BOSTON SCIENTIFIC CORP,BOSTON SCIENTIFIC CORPORATION,0.8627450980392157
BOUYGUES,BOUYGUES SA,0.8421052631578947
BP,BF SPA,0.5
BRAMBLES,BRAMBLES LIMITED,0.6666666666666666
BRENNTAG,BRENNTAG AG,0.8421052631578947
BRIDGESTONE CORP,BRIDGESTONE CORP,1.0
BRISTOL-MYERS SQUIBB CO,BRISTOL-MYERS SQUIBB CO,1.0
BRITISH AMERICAN TOBACCO,BRITISH AMERICAN TOBACCO PLC,0.9230769230769231
BRITISH LAND CO,BRITISH LAND COMPANY PLC,0.7692307692307693
BROADCOM,BROADCOM INC.,0.7619047619047619
BROADRIDGE FINANCIAL,"BROADRIDGE FINANCIAL SOLUTIONS, INC.",0.7142857142857143
BROOKFIELD ASSET MAN LTD,BROOKFIELD ASSET MANAGEMENT INC,0.7636363636363637
BROOKFIELD CORP A,BATERO GOLD CORP,0.6666666666666666
BROOKFIELD RENEWABLE,BROOKFIELD RENEWABLE PARTNERS LP,0.7692307692307693
BROTHER INDUSTRIES,BROTHER INDUSTRIES LTD,0.9
BROWN & BROWN,"BROWN & BROWN, INC.",0.8125
BROWN-FORMAN CORP B,BROWN-FORMAN CORPORATION CLASS B,0.7450980392156863
BRP INC SV,BRP INC,0.8235294117647058
BT GROUP,BHP GROUP,0.8235294117647058
BUDWEISER BREWING CO,BUDWEISER BREWING COMPANY APAC LTD,0.7407407407407407
BUNGE,BUNGE LTD,0.7142857142857143
BUNZL,BUNZL PLC,0.7142857142857143
BURBERRY GROUP,BURBERRY GROUP PLC,0.875
BUREAU VERITAS SA,BUREAU VERITAS SA,1.0
BURLINGTON STORES,BURLINGTON STORES INC,0.8947368421052632
CADENCE DESIGN SYSTEMS,CADENCE DESIGN SYSTEMS INC,0.9166666666666666
CAE,CAE INC,0.6
CAESARS ENT INC,CATALENT INC,0.7407407407407407
CAIXABANK,CAIXABANK SA,0.8571428571428571
CAMDEN PROPERTY TRUST,CAMDEN PROPERTY TRUST,1.0
CAMECO CORP,CAMECO CORP,1.0
CAMPBELL SOUP,CAMPBELL SOUP COMPANY,0.7647058823529411
CANADIAN APT PPTYS REIT,CANADIAN APARTMENT PROPERTIES REIT,0.7719298245614035
CANADIAN IMPERIAL BANK,CANADIAN IMPERIAL BANK OF COMMERCE,0.7857142857142857
CANADIAN NAT RESOURCES,CANADIAN NATURAL RESOURCES LTD,0.8461538461538461
CANADIAN NATL RAILWAY,CANADIAN NATIONAL RAILWAY,0.9130434782608695
CANADIAN TIRE CORP A,CANADIAN BANC CORP,0.7368421052631579
CANADIAN UTILITIES A,CANADIAN UTILITIES LIMITED,0.8260869565217391
CANON INC,CANON INC,1.0
CAPCOM CO,"CAPCOM CO.,LTD.",0.75
CAPGEMINI,CAPGEMINI SE,0.8571428571428571
CAPITAL ONE FINANCIAL,CAPITAL ONE FINANCIAL CORP.,0.875
CAPITALAND ASCENDAS REIT,CAPITALAND MALL TRUST,0.6222222222222222
CAPITALAND INTEGRATED,CAPITALAND LIMITED,0.7692307692307693
CAPITALAND INVESTMENT,CAPITOL INVESTMENT CORP. V,0.723404255319149
CARDINAL HEALTH,CARDINAL HEALTH INC,0.8823529411764706
CARL ZEISS MEDITEC,CARL ZEISS MEDITEC AG,0.9230769230769231
CARLISLE COS,"CARLISLE COMPANIES, INC.",0.6666666666666666
CARLSBERG B,CARLSBERG A/S,0.8333333333333334
CARLYLE GROUP,CROMWELL GROUP,0.7407407407407407
CARMAX,"CARMAX, INC",0.7058823529411765
CARNIVAL CORP (US),CARNIVAL CORP,0.8387096774193549
CARREFOUR,CARREFOUR SA,0.8571428571428571
CARRIER GLOBAL,CARRIER GLOBAL CORPORATION,0.7
CATALENT,CATALENT INC,0.8
CATERPILLAR,CATERPILLAR INC.,0.8148148148148148
CBOE GLOBAL MARKETS,CBOE GLOBAL MARKETS INC,0.9047619047619048
CBRE GROUP,"CBRE GROUP, INC.",0.7692307692307693
CCL INDUSTRIES B,CCL INDUSTRIES INC.,0.8571428571428571
CDW CORP,CJ CORP,0.8
CELANESE CORP,CENTENE CORP,0.8
CELLNEX TELECOM,CELLNEX TELECOM SA,0.9090909090909091
CENOVUS ENERGY,CENOVUS ENERGY INC,0.875
CENTENE CORP,CENTENE CORP,1.0
CENTERPOINT ENERGY,"CENTERPOINT ENERGY, INC.",0.8571428571428571
CENTRAL JAPAN RAILWAY CO,CENTRAL JAPAN RAILWAY COMPANY,0.9056603773584906
CERIDIAN HCM HOLDING,CERIDIAN HCM HOLDING INC.,0.8888888888888888
CF INDUSTRIES HOLDINGS,"CF INDUSTRIES HOLDINGS, INC.",0.88
CGI A,CGG SA,0.7272727272727273
CH ROBINSON WORLDWIDE,C.H. ROBINSON WORLDWIDE INC,0.875
CHARLES RIVER LABS INTL,CHARLES RIVER LABORATORIES INTL. INC,0.7796610169491526
CHARTER COMM A (NEW),CHARTER OAK BANK,0.6666666666666666
CHECK POINT SOFTW (USD),CHECK POINT SOFTWARE TECHNOLOGIES LTD.,0.6557377049180327
CHENIERE ENERGY,"CHENIERE ENERGY, INC.",0.8333333333333334
CHESAPEAKE ENERGY CORP,CHESAPEAKE ENERGY CORPORATION,0.8627450980392157
CHEVRON CORP,CHEVRON CORP/SH,0.8888888888888888
CHEWY A,"CHEWY, INC.",0.6666666666666666
CHIBA BANK,CHIBA BANK LTD,0.8333333333333334
CHIPOTLE MEXICAN GRILL A,"CHIPOTLE MEXICAN GRILL, INC.",0.8846153846153846
CHRISTIAN HANSEN HOLDING,CHR HANSEN HOLDING A/S,0.782608695652174
CHUBB,CHUBB LTD,0.7142857142857143
CHUBU ELECTRIC POWER CO,CHUBU ELECTRIC POWER CO INC,0.92
CHUGAI PHARMACEUTICAL CO,CHUGAI PHARMACEUTICAL CO LTD,0.9230769230769231
CHURCH & DWIGHT CO,"CHURCH & DWIGHT CO., INC.",0.8372093023255814
CINCINNATI FINL CORP,CINCINNATI BANCORP,0.8421052631578947
CINTAS CORP,CIGNA CORP,0.8571428571428571
CISCO SYSTEMS,"CISCO SYSTEMS, INC.",0.8125
CITIGROUP,CITIGROUP INC,0.8181818181818182
CITIZENS FINANCIAL GROUP,CITIZENS FINANCIAL GROUP INC,0.9230769230769231
CITY DEVELOPMENTS,CITY DEVELOPMENTS LIMITED,0.8095238095238095
CK ASSET HOLDINGS,CK ASSET HOLDINGS LTD,0.8947368421052632
CK HUTCHISON HOLDINGS,CK HUTCHISON HOLDINGS LTD,0.9130434782608695
CK INFRASTRUCTURE HLDGS,CK INFRASTRUCTURE HOLDINGS LTD,0.8679245283018868
CLARIANT,CLARIANT AG,0.8421052631578947
CLARIVATE,CLARIANT AG,0.7
CLEVELAND CLIFFS,CLEVELAND-CLIFFS INC,0.8333333333333334
CLOROX CO,CLOROX CO,1.0
CLOUDFLARE A,"CLOUDFLARE, INC.",0.7857142857142857
CLP HOLDINGS,CLS HOLDINGS PLC,0.7857142857142857
CME GROUP,CME GROUP BHD,0.8181818181818182
CMS ENERGY CORP,CF ENERGY CORP,0.896551724137931
CNH INDUSTRIAL,CNH INDUSTRIAL NV,0.9032258064516129
COCA COLA (THE),COCA COLA CO/SH,0.7333333333333333
COCA COLA EUROPAC (US),COCA COLA CO/SH,0.6486486486486487
COCA-COLA HBC CDI,COCA-COLA HBC AG,0.8484848484848485
COCHLEAR,COCHLEAR LIMITED,0.6666666666666666
COGNEX CORP,CONX CORP.,0.8571428571428571
COGNIZANT TECH SOLUTIONS,COGNIZANT TECHNOLOGY SOLUTIONS CORP,0.8135593220338984
COINBASE GLOBAL A,CSE GLOBAL LTD.,0.6875
COLES,COGELEC SA,0.6666666666666666
COLGATE-PALMOLIVE,COLGATE-PALMOLIVE COMPANY,0.8095238095238095
COLOPLAST B,COLOPLAST A/S,0.8333333333333334
COMCAST CORP A (NEW),COMCAST CORPORATION,0.717948717948718
COMMERZBANK,COMMERZBANK AG,0.88
COMMONWEALTH BANK OF AUS,COMMONWEALTH BANK OF AUSTRALIA,0.8888888888888888
COMPASS GROUP,COMPASS GROUP PLC,0.8666666666666667
COMPUTERSHARE,COMPUTERSHARE LIMITED,0.7647058823529411
CONAGRA BRANDS,CONAGRA BRANDS INC,0.875
CONCORDIA FINANCIAL GRP,"CONCORDIA FINANCIAL GROUP,LTD.",0.8679245283018868
CONOCOPHILLIPS,CONOCOPHILLIPS,1.0
CONSOLIDATED EDISON,"CONSOLIDATED EDISON, INC.",0.8636363636363636
CONSTELLATION BRANDS A,"CONSTELLATION BRANDS, INC.",0.875
CONSTELLATION ENERGY,CONSTELLATION RESOURCES LTD,0.6808510638297872
CONSTELLATION SFTW (DET),CONSTELLATION SOFTWARE INC.,0.7450980392156863
